문제 번호,제목,맞춘사람,제출,정답률,URL
1902,špilja,49,171,49.0%,https://www.acmicpc.net/problem/1902
1647,도시 분할 계획,12764,37190,49.0%,https://www.acmicpc.net/problem/1647
1935,후위 표기식2,11819,29885,48.9%,https://www.acmicpc.net/problem/1935
1977,완전제곱수,17140,40538,48.9%,https://www.acmicpc.net/problem/1977
1574,룩 어택,492,1207,48.8%,https://www.acmicpc.net/problem/1574
1234,크리스마스 트리,849,2282,48.8%,https://www.acmicpc.net/problem/1234
1679,숫자놀이,474,1297,48.7%,https://www.acmicpc.net/problem/1679
1359,복권,1018,2731,48.5%,https://www.acmicpc.net/problem/1359
1390,테트리스,95,304,48.5%,https://www.acmicpc.net/problem/1390
1184,귀농,440,1307,48.4%,https://www.acmicpc.net/problem/1184
1457,정확해,90,275,48.4%,https://www.acmicpc.net/problem/1457
1516,게임 개발,10072,26738,48.4%,https://www.acmicpc.net/problem/1516
1337,올바른 배열,2303,6075,48.3%,https://www.acmicpc.net/problem/1337
1743,음식물 피하기,9398,24536,48.3%,https://www.acmicpc.net/problem/1743
1954,화학실험,105,300,48.2%,https://www.acmicpc.net/problem/1954
1010,다리 놓기,46259,121450,48.2%,https://www.acmicpc.net/problem/1010
1819,불끄기,26,78,48.1%,https://www.acmicpc.net/problem/1819
1664,주민등록번호,37,117,48.1%,https://www.acmicpc.net/problem/1664
1856,단어 게임,86,237,48.0%,https://www.acmicpc.net/problem/1856
1658,돼지 잡기,344,1004,48.0%,https://www.acmicpc.net/problem/1658
1027,고층 건물,5460,14106,48.0%,https://www.acmicpc.net/problem/1027
1748,수 이어 쓰기 1,13272,35011,48.0%,https://www.acmicpc.net/problem/1748
1509,팰린드롬 분할,5171,14625,48.0%,https://www.acmicpc.net/problem/1509
1809,Moo,5625,14357,47.9%,https://www.acmicpc.net/problem/1809
1340,연도 진행바,1605,4032,47.8%,https://www.acmicpc.net/problem/1340
1239,차트,633,1714,47.8%,https://www.acmicpc.net/problem/1239
1440,타임머신,1035,2634,47.7%,https://www.acmicpc.net/problem/1440
1684,같은 나머지,609,1666,47.7%,https://www.acmicpc.net/problem/1684
1076,저항,14873,36496,47.6%,https://www.acmicpc.net/problem/1076
1249,워드똑똑,40,104,47.6%,https://www.acmicpc.net/problem/1249
1964,"오각형, 오각형, 오각형…",5357,13234,47.5%,https://www.acmicpc.net/problem/1964
1414,불우이웃돕기,2059,5467,47.5%,https://www.acmicpc.net/problem/1414
1035,조각 움직이기,762,2356,47.5%,https://www.acmicpc.net/problem/1035
1110,더하기 사이클,105464,272170,47.5%,https://www.acmicpc.net/problem/1110
1978,소수 찾기,93536,245615,47.4%,https://www.acmicpc.net/problem/1978
1735,분수 합,18212,44597,47.3%,https://www.acmicpc.net/problem/1735
1014,컨닝,2614,9753,47.3%,https://www.acmicpc.net/problem/1014
1413,박스 안의 열쇠,533,1462,47.3%,https://www.acmicpc.net/problem/1413
1137,로봇 레이스,17,96,47.2%,https://www.acmicpc.net/problem/1137
1254,팰린드롬 만들기,4796,12540,47.2%,https://www.acmicpc.net/problem/1254
1051,숫자 정사각형,10702,27095,47.2%,https://www.acmicpc.net/problem/1051
1765,닭싸움 팀 정하기,836,2318,47.2%,https://www.acmicpc.net/problem/1765
1940,주몽,14058,40850,47.1%,https://www.acmicpc.net/problem/1940
1677,음악,32,106,47.1%,https://www.acmicpc.net/problem/1677
1173,운동,4395,10740,47.0%,https://www.acmicpc.net/problem/1173
1630,오민식,424,1288,47.0%,https://www.acmicpc.net/problem/1630
1161,버스,130,450,46.9%,https://www.acmicpc.net/problem/1161
1309,동물원,16418,42455,46.9%,https://www.acmicpc.net/problem/1309
1945,직사각형,226,616,46.9%,https://www.acmicpc.net/problem/1945
1327,소트 게임,1408,4054,46.8%,https://www.acmicpc.net/problem/1327
1004,어린 왕자,17680,45765,46.7%,https://www.acmicpc.net/problem/1004
1822,차집합,5410,14437,46.7%,https://www.acmicpc.net/problem/1822
1492,합,520,1745,46.6%,https://www.acmicpc.net/problem/1492
1402,아무래도이문제는A번난이도인것같다,4545,11789,46.6%,https://www.acmicpc.net/problem/1402
1474,밑 줄,470,1305,46.5%,https://www.acmicpc.net/problem/1474
1251,단어 나누기,6258,16790,46.4%,https://www.acmicpc.net/problem/1251
1339,단어 수학,14392,40312,46.4%,https://www.acmicpc.net/problem/1339
1374,강의실,3554,9818,46.4%,https://www.acmicpc.net/problem/1374
1676,팩토리얼 0의 개수,39397,100167,46.3%,https://www.acmicpc.net/problem/1676
1442,멋진 수,49,293,46.2%,https://www.acmicpc.net/problem/1442
1811,Adjacent Mastermind,140,378,46.2%,https://www.acmicpc.net/problem/1811
1030,프렉탈 평면,1300,3719,46.1%,https://www.acmicpc.net/problem/1030
1229,육각수,614,2008,46.1%,https://www.acmicpc.net/problem/1229
1408,24,6139,15682,46.1%,https://www.acmicpc.net/problem/1408
1412,일방통행,276,719,46.0%,https://www.acmicpc.net/problem/1412
1043,거짓말,14470,41032,45.9%,https://www.acmicpc.net/problem/1043
1571,단어 굴리기,62,251,45.9%,https://www.acmicpc.net/problem/1571
1170,선인장의 개수,107,330,45.9%,https://www.acmicpc.net/problem/1170
1999,최대최소,207,700,45.9%,https://www.acmicpc.net/problem/1999
1773,폭죽쇼,3245,9575,45.9%,https://www.acmicpc.net/problem/1773
1417,국회의원 선거,7645,20136,45.7%,https://www.acmicpc.net/problem/1417
1430,공격,251,777,45.6%,https://www.acmicpc.net/problem/1430
1524,세준세비,1517,4501,45.4%,https://www.acmicpc.net/problem/1524
1986,체스,1064,2874,45.4%,https://www.acmicpc.net/problem/1986
1133,반복되지 않는 단어,78,335,45.3%,https://www.acmicpc.net/problem/1133
1543,문서 검색,12013,32917,45.3%,https://www.acmicpc.net/problem/1543
1245,농장 관리,2313,6427,45.3%,https://www.acmicpc.net/problem/1245
1034,램프,2705,7754,45.2%,https://www.acmicpc.net/problem/1034
1885,비부분수열,154,461,45.2%,https://www.acmicpc.net/problem/1885
1243,팰린드롬,102,375,45.1%,https://www.acmicpc.net/problem/1243
1606,침투 계획 세우기,232,711,45.0%,https://www.acmicpc.net/problem/1606
1758,알바생 강호,4844,12583,45.0%,https://www.acmicpc.net/problem/1758
1913,달팽이,7471,23151,45.0%,https://www.acmicpc.net/problem/1913
1759,암호 만들기,29011,88037,45.0%,https://www.acmicpc.net/problem/1759
1306,달려라 홍준,1486,4298,44.9%,https://www.acmicpc.net/problem/1306
1487,물건 팔기,788,2286,44.8%,https://www.acmicpc.net/problem/1487
1778,Ubiquitous Religions,99,301,44.8%,https://www.acmicpc.net/problem/1778
1276,PLATFORME,295,817,44.8%,https://www.acmicpc.net/problem/1276
1813,논리학 교수,1421,3653,44.7%,https://www.acmicpc.net/problem/1813
1246,온라인 판매,3018,7684,44.5%,https://www.acmicpc.net/problem/1246
1475,방 번호,27367,79127,44.5%,https://www.acmicpc.net/problem/1475
1437,수 분해,647,1780,44.4%,https://www.acmicpc.net/problem/1437
1263,시간 관리,1794,4875,44.4%,https://www.acmicpc.net/problem/1263
1112,진법 변환,553,1651,44.3%,https://www.acmicpc.net/problem/1112
1236,성 지키기,7504,21097,44.3%,https://www.acmicpc.net/problem/1236
1322,X와 K,928,2719,44.3%,https://www.acmicpc.net/problem/1322
1823,수확,548,1724,44.2%,https://www.acmicpc.net/problem/1823
1155,변형 하노이,132,498,44.1%,https://www.acmicpc.net/problem/1155
1598,꼬리를 무는 숫자 나열,5477,14214,44.1%,https://www.acmicpc.net/problem/1598
1633,최고의 팀 만들기,894,2732,44.1%,https://www.acmicpc.net/problem/1633
1584,게임,886,2725,44.0%,https://www.acmicpc.net/problem/1584
1368,물대기,2183,6475,44.0%,https://www.acmicpc.net/problem/1368
1211,보일의 법칙,40,459,44.0%,https://www.acmicpc.net/problem/1211
1081,합,1259,5322,43.9%,https://www.acmicpc.net/problem/1081
1783,병든 나이트,6568,17613,43.8%,https://www.acmicpc.net/problem/1783
1448,삼각형 만들기,3577,10263,43.7%,https://www.acmicpc.net/problem/1448
1285,동전 뒤집기,2332,8557,43.7%,https://www.acmicpc.net/problem/1285
1926,그림,17696,57780,43.6%,https://www.acmicpc.net/problem/1926
1063,킹,6363,17827,43.6%,https://www.acmicpc.net/problem/1063
1605,반복 부분문자열,1126,4743,43.6%,https://www.acmicpc.net/problem/1605
1548,부분 삼각 수열,523,1490,43.5%,https://www.acmicpc.net/problem/1548
1139,울타리,161,669,43.5%,https://www.acmicpc.net/problem/1139
1652,누울 자리를 찾아라,8175,22720,43.5%,https://www.acmicpc.net/problem/1652
1736,쓰레기 치우기,380,1214,43.5%,https://www.acmicpc.net/problem/1736
1405,미친 로봇,3964,12039,43.4%,https://www.acmicpc.net/problem/1405
1261,알고스팟,14243,46285,43.4%,https://www.acmicpc.net/problem/1261
1213,팰린드롬 만들기,11807,36128,43.4%,https://www.acmicpc.net/problem/1213
1146,지그재그 서기,656,2053,43.4%,https://www.acmicpc.net/problem/1146
1760,N-Rook,475,1354,43.3%,https://www.acmicpc.net/problem/1760
1628,수,104,545,43.3%,https://www.acmicpc.net/problem/1628
1395,스위치,2880,9144,43.3%,https://www.acmicpc.net/problem/1395
1182,부분수열의 합,30226,102445,43.3%,https://www.acmicpc.net/problem/1182
1953,팀배분,777,2360,43.3%,https://www.acmicpc.net/problem/1953
1174,줄어드는 수,2654,7628,43.3%,https://www.acmicpc.net/problem/1174
1124,언더프라임,2398,7595,43.2%,https://www.acmicpc.net/problem/1124
1165,단어퍼즐,54,353,43.2%,https://www.acmicpc.net/problem/1165
1080,행렬,9466,27040,43.2%,https://www.acmicpc.net/problem/1080
1464,뒤집기 3,713,2245,43.2%,https://www.acmicpc.net/problem/1464
1694,Chessboard in FEN,49,167,43.0%,https://www.acmicpc.net/problem/1694
1342,행운의 문자열,2499,7937,43.0%,https://www.acmicpc.net/problem/1342
1019,책 페이지,5912,21779,42.9%,https://www.acmicpc.net/problem/1019
1879,부끄러운 다각형,3,82,42.9%,https://www.acmicpc.net/problem/1879
1767,N-Rook II,283,918,42.8%,https://www.acmicpc.net/problem/1767
1580,위치 바꾸기,122,376,42.8%,https://www.acmicpc.net/problem/1580
1525,퍼즐,5401,19420,42.8%,https://www.acmicpc.net/problem/1525
1672,DNA 해독,1883,6014,42.7%,https://www.acmicpc.net/problem/1672
1724,그림판,72,280,42.6%,https://www.acmicpc.net/problem/1724
1074,Z,30738,96483,42.6%,https://www.acmicpc.net/problem/1074
1542,체스 연습,56,180,42.4%,https://www.acmicpc.net/problem/1542
1968,우체부,11,37,42.3%,https://www.acmicpc.net/problem/1968
1512,주기문으로 바꾸기,170,673,42.3%,https://www.acmicpc.net/problem/1512
1797,균형잡힌 줄서기,202,680,42.3%,https://www.acmicpc.net/problem/1797
1187,숫자 놀이,259,997,42.3%,https://www.acmicpc.net/problem/1187
1901,논리식,19,62,42.2%,https://www.acmicpc.net/problem/1901
1416,팬 서비스,73,218,42.2%,https://www.acmicpc.net/problem/1416
1720,타일 코드,1534,4633,42.2%,https://www.acmicpc.net/problem/1720
1049,기타줄,13034,35676,42.1%,https://www.acmicpc.net/problem/1049
1183,약속,876,2682,42.0%,https://www.acmicpc.net/problem/1183
1825,순열 만들기,60,170,42.0%,https://www.acmicpc.net/problem/1825
1527,금민수의 개수,1668,4997,41.9%,https://www.acmicpc.net/problem/1527
1153,네 개의 소수,1428,4482,41.9%,https://www.acmicpc.net/problem/1153
1764,듣보잡,46484,136014,41.9%,https://www.acmicpc.net/problem/1764
1689,겹치는 선분,1212,3994,41.8%,https://www.acmicpc.net/problem/1689
1836,트리의 가짓수 세기,157,549,41.8%,https://www.acmicpc.net/problem/1836
1283,단축키 지정,2395,7328,41.7%,https://www.acmicpc.net/problem/1283
1590,캠프가는 영식,980,3355,41.7%,https://www.acmicpc.net/problem/1590
1789,수들의 합,26010,75261,41.7%,https://www.acmicpc.net/problem/1789
1176,섞기,294,896,41.5%,https://www.acmicpc.net/problem/1176
1480,보석 모으기,502,1726,41.5%,https://www.acmicpc.net/problem/1480
1573,트리 인코딩,44,142,41.5%,https://www.acmicpc.net/problem/1573
1451,직사각형으로 나누기,1439,4596,41.5%,https://www.acmicpc.net/problem/1451
1728,구슬 굴리기,68,251,41.5%,https://www.acmicpc.net/problem/1728
1373,2진수 8진수,12641,38180,41.4%,https://www.acmicpc.net/problem/1373
1644,소수의 연속합,17313,57246,41.4%,https://www.acmicpc.net/problem/1644
1659,수 (Hard),144,824,41.4%,https://www.acmicpc.net/problem/1659
1737,Pibonacci,378,1350,41.2%,https://www.acmicpc.net/problem/1737
1148,단어 만들기,545,1876,41.2%,https://www.acmicpc.net/problem/1148
1053,팰린드롬 공장,602,1955,41.0%,https://www.acmicpc.net/problem/1053
1371,가장 많은 글자,5203,15847,41.0%,https://www.acmicpc.net/problem/1371
1350,진짜 공간,3676,10221,40.9%,https://www.acmicpc.net/problem/1350
1052,물병,5746,18064,40.9%,https://www.acmicpc.net/problem/1052
1311,할 일 정하기 1,2057,6637,40.8%,https://www.acmicpc.net/problem/1311
1181,단어 정렬,71328,224098,40.8%,https://www.acmicpc.net/problem/1181
1967,트리의 지름,17998,58902,40.7%,https://www.acmicpc.net/problem/1967
1970,건배,295,1087,40.6%,https://www.acmicpc.net/problem/1970
1466,그림 고치기,26,102,40.6%,https://www.acmicpc.net/problem/1466
1686,복날,153,561,40.6%,https://www.acmicpc.net/problem/1686
1980,햄버거 사랑,556,1851,40.6%,https://www.acmicpc.net/problem/1980
1534,다각형 자르기,19,68,40.4%,https://www.acmicpc.net/problem/1534
1796,신기한 키보드,345,1197,40.4%,https://www.acmicpc.net/problem/1796
1863,스카이라인 쉬운거,2508,7818,40.4%,https://www.acmicpc.net/problem/1863
1877,끔찍한 수열,44,124,40.4%,https://www.acmicpc.net/problem/1877
1489,대결,308,1038,40.4%,https://www.acmicpc.net/problem/1489
1450,냅색문제,3515,11729,40.4%,https://www.acmicpc.net/problem/1450
1101,카드 정리 1,282,930,40.3%,https://www.acmicpc.net/problem/1101
1699,제곱수의 합,20530,68235,40.3%,https://www.acmicpc.net/problem/1699
1217,하우스 M.D.,230,779,40.3%,https://www.acmicpc.net/problem/1217
1611,강강술래,37,147,40.2%,https://www.acmicpc.net/problem/1611
1951,활자,501,1572,40.1%,https://www.acmicpc.net/problem/1951
1157,단어 공부,105256,331339,40.1%,https://www.acmicpc.net/problem/1157
1304,지역,131,404,40.1%,https://www.acmicpc.net/problem/1304
1151,그림자,44,149,40.0%,https://www.acmicpc.net/problem/1151
1387,행렬 교환,8,63,40.0%,https://www.acmicpc.net/problem/1387
1866,택배,529,1727,39.9%,https://www.acmicpc.net/problem/1866
1560,비숍,754,2322,39.7%,https://www.acmicpc.net/problem/1560
1272,특별 노드,75,330,39.7%,https://www.acmicpc.net/problem/1272
1670,정상 회담 2,1329,4162,39.7%,https://www.acmicpc.net/problem/1670
1328,고층 빌딩,3482,11132,39.6%,https://www.acmicpc.net/problem/1328
1725,히스토그램,8272,30719,39.6%,https://www.acmicpc.net/problem/1725
1194,"달이 차오른다, 가자.",5800,20015,39.6%,https://www.acmicpc.net/problem/1194
1911,흙길 보수하기,3788,12291,39.6%,https://www.acmicpc.net/problem/1911
1495,기타리스트,7334,23449,39.5%,https://www.acmicpc.net/problem/1495
1443,망가진 계산기,269,899,39.4%,https://www.acmicpc.net/problem/1443
1407,2로 몇 번 나누어질까,1302,4832,39.4%,https://www.acmicpc.net/problem/1407
1906,자리 바꾸기,11,54,39.3%,https://www.acmicpc.net/problem/1906
1012,유기농 배추,60832,221014,39.2%,https://www.acmicpc.net/problem/1012
1828,Traveling Salesman,18,71,39.1%,https://www.acmicpc.net/problem/1828
1680,쓰레기 수거,420,1434,39.1%,https://www.acmicpc.net/problem/1680
1988,낮잠 시간,149,581,39.0%,https://www.acmicpc.net/problem/1988
1225,이상한 곱셈,7511,22907,39.0%,https://www.acmicpc.net/problem/1225
1874,스택 수열,52042,186495,39.0%,https://www.acmicpc.net/problem/1874
1379,강의실 2,693,2321,39.0%,https://www.acmicpc.net/problem/1379
1459,걷기,2960,9360,38.9%,https://www.acmicpc.net/problem/1459
1572,중앙값,1668,6556,38.9%,https://www.acmicpc.net/problem/1572
1113,수영장 만들기,1624,5931,38.9%,https://www.acmicpc.net/problem/1113
1975,Number Game,985,3289,38.8%,https://www.acmicpc.net/problem/1975
1303,전쟁 - 전투,7049,22175,38.8%,https://www.acmicpc.net/problem/1303
1646,피이보나치 트리,166,550,38.8%,https://www.acmicpc.net/problem/1646
1802,종이 접기,1324,4159,38.7%,https://www.acmicpc.net/problem/1802
1260,DFS와 BFS,77518,328120,38.6%,https://www.acmicpc.net/problem/1260
1918,후위 표기식,16824,56267,38.5%,https://www.acmicpc.net/problem/1918
1000,A+B,337353,1271993,38.5%,https://www.acmicpc.net/problem/1000
1478,정사각형,5,44,38.5%,https://www.acmicpc.net/problem/1478
1917,정육면체 전개도,543,2048,38.4%,https://www.acmicpc.net/problem/1917
1505,불 켜기,83,287,38.2%,https://www.acmicpc.net/problem/1505
1042,움,160,742,38.2%,https://www.acmicpc.net/problem/1042
1384,메시지,1088,3404,38.0%,https://www.acmicpc.net/problem/1384
1300,K번째 수,14141,51716,38.0%,https://www.acmicpc.net/problem/1300
1218,로봇,30,195,38.0%,https://www.acmicpc.net/problem/1218
1007,벡터 매칭,3873,14247,38.0%,https://www.acmicpc.net/problem/1007
1533,길의 개수,1177,3805,38.0%,https://www.acmicpc.net/problem/1533
1585,경찰,255,816,37.8%,https://www.acmicpc.net/problem/1585
1883,1&&3,17,75,37.8%,https://www.acmicpc.net/problem/1883
1197,최소 스패닝 트리,22559,108196,37.7%,https://www.acmicpc.net/problem/1197
1912,연속합,44552,160632,37.7%,https://www.acmicpc.net/problem/1912
1351,무한 수열,4862,15435,37.7%,https://www.acmicpc.net/problem/1351
1192,장갑,29,275,37.7%,https://www.acmicpc.net/problem/1192
1090,체커,597,2313,37.6%,https://www.acmicpc.net/problem/1090
1557,제곱 ㄴㄴ,1786,7430,37.6%,https://www.acmicpc.net/problem/1557
1882,분수 찾기,50,377,37.6%,https://www.acmicpc.net/problem/1882
1247,부호,6630,23172,37.6%,https://www.acmicpc.net/problem/1247
1976,여행 가자,15984,56067,37.5%,https://www.acmicpc.net/problem/1976
1566,P배열,93,597,37.5%,https://www.acmicpc.net/problem/1566
1869,육각형,3,15,37.5%,https://www.acmicpc.net/problem/1869
1893,시저 암호,611,2261,37.5%,https://www.acmicpc.net/problem/1893
1763,트리 색칠,211,822,37.5%,https://www.acmicpc.net/problem/1763
1088,케이크,225,1007,37.4%,https://www.acmicpc.net/problem/1088
1989,부분배열 고르기 2,526,1706,37.3%,https://www.acmicpc.net/problem/1989
1106,호텔,4414,15723,37.2%,https://www.acmicpc.net/problem/1106
1013,Contact,5819,19924,37.2%,https://www.acmicpc.net/problem/1013
1484,다이어트,3120,10268,37.2%,https://www.acmicpc.net/problem/1484
1843,방정식,162,649,37.2%,https://www.acmicpc.net/problem/1843
1538,공 칠하기,20,67,37.0%,https://www.acmicpc.net/problem/1538
1490,자리수로 나누기,467,1589,37.0%,https://www.acmicpc.net/problem/1490
1669,멍멍이 쓰다듬기,1402,4719,37.0%,https://www.acmicpc.net/problem/1669
1956,운동,8520,31744,37.0%,https://www.acmicpc.net/problem/1956
1612,가지고 노는 1,694,2377,36.9%,https://www.acmicpc.net/problem/1612
1262,알파벳 다이아몬드,408,1361,36.9%,https://www.acmicpc.net/problem/1262
1662,압축,2737,10047,36.8%,https://www.acmicpc.net/problem/1662
1438,가장 작은 직사각형,170,784,36.8%,https://www.acmicpc.net/problem/1438
1761,정점들의 거리,3777,15561,36.8%,https://www.acmicpc.net/problem/1761
1209,단조수열 만들기,262,1010,36.7%,https://www.acmicpc.net/problem/1209
1441,나누어 질까,248,924,36.7%,https://www.acmicpc.net/problem/1441
1352,문자열,183,900,36.7%,https://www.acmicpc.net/problem/1352
1827,여행가이드,34,114,36.6%,https://www.acmicpc.net/problem/1827
1660,캡틴 이다솜,1952,7227,36.5%,https://www.acmicpc.net/problem/1660
1852,수 묶기,85,317,36.5%,https://www.acmicpc.net/problem/1852
1131,숫자,299,1317,36.5%,https://www.acmicpc.net/problem/1131
1523,종점,47,171,36.4%,https://www.acmicpc.net/problem/1523
1212,8진수 2진수,15268,52940,36.4%,https://www.acmicpc.net/problem/1212
1730,판화,984,3310,36.4%,https://www.acmicpc.net/problem/1730
1426,카드 넣기,16,114,36.4%,https://www.acmicpc.net/problem/1426
1638,컨벡스 헐,12,85,36.4%,https://www.acmicpc.net/problem/1638
1854,K번째 최단경로 찾기,4405,17994,36.3%,https://www.acmicpc.net/problem/1854
1771,카드 묶음,89,378,36.3%,https://www.acmicpc.net/problem/1771
1508,레이스,531,1917,36.3%,https://www.acmicpc.net/problem/1508
1695,팰린드롬 만들기,1962,7603,36.3%,https://www.acmicpc.net/problem/1695
1850,최대공약수,8504,30424,36.3%,https://www.acmicpc.net/problem/1850
1846,장기,162,630,36.2%,https://www.acmicpc.net/problem/1846
1132,합,1542,5221,36.2%,https://www.acmicpc.net/problem/1132
1619,점 고르기,51,249,36.2%,https://www.acmicpc.net/problem/1619
1099,알 수 없는 문장,815,3170,36.1%,https://www.acmicpc.net/problem/1099
1252,이진수 덧셈,4602,15261,36.1%,https://www.acmicpc.net/problem/1252
1510,이등변 삼각형,22,182,36.1%,https://www.acmicpc.net/problem/1510
1460,진욱이의 농장,94,431,36.0%,https://www.acmicpc.net/problem/1460
1925,삼각형,497,1936,35.9%,https://www.acmicpc.net/problem/1925
1307,마방진,233,1343,35.8%,https://www.acmicpc.net/problem/1307
1410,패턴의 개수,100,440,35.8%,https://www.acmicpc.net/problem/1410
1248,Guess,2656,11163,35.8%,https://www.acmicpc.net/problem/1248
1331,나이트 투어,2721,9363,35.7%,https://www.acmicpc.net/problem/1331
1995,폐쇄회로,5,77,35.7%,https://www.acmicpc.net/problem/1995
1227,그녀의 마음,25,108,35.7%,https://www.acmicpc.net/problem/1227
1025,제곱수 찾기,2988,10363,35.7%,https://www.acmicpc.net/problem/1025
1593,문자 해독,1013,4163,35.6%,https://www.acmicpc.net/problem/1593
1201,NMK,1528,5814,35.6%,https://www.acmicpc.net/problem/1201
1038,감소하는 수,9109,34095,35.6%,https://www.acmicpc.net/problem/1038
1377,버블 소트,5704,22355,35.5%,https://www.acmicpc.net/problem/1377
1023,괄호 문자열,824,3784,35.4%,https://www.acmicpc.net/problem/1023
1469,숌 사이 수열,335,1240,35.4%,https://www.acmicpc.net/problem/1469
1709,타일 위의 원,219,965,35.4%,https://www.acmicpc.net/problem/1709
1757,달려달려,637,2270,35.4%,https://www.acmicpc.net/problem/1757
1715,카드 정렬하기,22622,81601,35.3%,https://www.acmicpc.net/problem/1715
1749,점수따먹기,1170,4266,35.3%,https://www.acmicpc.net/problem/1749
1930,정사면체,212,910,35.2%,https://www.acmicpc.net/problem/1930
1607,원숭이 타워,102,400,35.2%,https://www.acmicpc.net/problem/1607
1690,순열,32,142,35.2%,https://www.acmicpc.net/problem/1690
1620,나는야 포켓몬 마스터 이다솜,38645,138617,35.1%,https://www.acmicpc.net/problem/1620
1623,신년 파티,178,782,35.1%,https://www.acmicpc.net/problem/1623
1938,통나무 옮기기,2872,11224,35.1%,https://www.acmicpc.net/problem/1938
1271,엄청난 부자2,24493,95490,35.0%,https://www.acmicpc.net/problem/1271
1609,차의 공격,41,203,35.0%,https://www.acmicpc.net/problem/1609
1687,행렬 찾기,295,1214,35.0%,https://www.acmicpc.net/problem/1687
1360,되돌리기,511,1986,35.0%,https://www.acmicpc.net/problem/1360
1048,유니콘,244,1036,34.9%,https://www.acmicpc.net/problem/1048
1701,Cubeditor,2816,10987,34.8%,https://www.acmicpc.net/problem/1701
1787,문자열의 주기 예측,481,1828,34.8%,https://www.acmicpc.net/problem/1787
1179,마지막 요세푸스 문제,391,1925,34.8%,https://www.acmicpc.net/problem/1179
1692,뒤집기,40,158,34.8%,https://www.acmicpc.net/problem/1692
1838,버블 정렬,623,3339,34.7%,https://www.acmicpc.net/problem/1838
1033,칵테일,2054,8213,34.7%,https://www.acmicpc.net/problem/1033
1985,디지털 친구,149,619,34.7%,https://www.acmicpc.net/problem/1985
1807,척 노리스,79,278,34.6%,https://www.acmicpc.net/problem/1807
1613,역사,4520,18347,34.6%,https://www.acmicpc.net/problem/1613
1497,기타콘서트,910,3402,34.5%,https://www.acmicpc.net/problem/1497
